1       CPU: 2,448436                   RAM: 2267                       D˜SK: 0
125     CPU: 67,25322                   RAM: 2089                       D˜SK: 1,675701
126     CPU: 67,7496                    RAM: 2067                       D˜SK: 10,31017
127     CPU: 35,66529                   RAM: 2070                       D˜SK: 1,103482
128     CPU: 48,39552                   RAM: 2072                       D˜SK: 8,291892
129     CPU: 22,83547                   RAM: 2064                       D˜SK: 0,06347471
130     CPU: 7,012187                   RAM: 2085                       D˜SK: 0,6164043
131     CPU: 2,602607                   RAM: 2089                       D˜SK: 0,4430422
132     CPU: 4,402298                   RAM: 2090                       D˜SK: 0,3606354
133     CPU: 6,711218                   RAM: 2098                       D˜SK: 0,7119762
134     CPU: 6,791086                   RAM: 2103                       D˜SK: 9,993157
135     CPU: 11,84839                   RAM: 2092                       D˜SK: 3,143759
136     CPU: 3,53343                    RAM: 2099                       D˜SK: 2,394416
137     CPU: 8,199801                   RAM: 2098                       D˜SK: 3,229037
138     CPU: 6,259424                   RAM: 2121                       D˜SK: 0,9647567
139     CPU: 5,430091                   RAM: 2123                       D˜SK: 12,84344
140     CPU: 5,351262                   RAM: 2119                       D˜SK: 0,02706036
141     CPU: 5,022781                   RAM: 2119                       D˜SK: 0,303786
142     CPU: 13,07902                   RAM: 2121                       D˜SK: 12,46786
143     CPU: 2,151325                   RAM: 2124                       D˜SK: 4,724587
144     CPU: 4,064572                   RAM: 2127                       D˜SK: 1,517109
145     CPU: 6,800789                   RAM: 2134                       D˜SK: 0,2270455
146     CPU: 5,747492                   RAM: 2124                       D˜SK: 0,216445
147     CPU: 5,099669                   RAM: 2126                       D˜SK: 0,1569292
148     CPU: 13,80099                   RAM: 2129                       D˜SK: 2,017883
149     CPU: 10,3237                    RAM: 2156                       D˜SK: 20,93839
150     CPU: 4,071697                   RAM: 2157                       D˜SK: 0,1142454
151     CPU: 12,9901                    RAM: 2149                       D˜SK: 0,6957945
152     CPU: 3,26691                    RAM: 2152                       D˜SK: 0,0259605
153     CPU: 3,152442                   RAM: 2152                       D˜SK: 0,4236913
154     CPU: 3,347946                   RAM: 2155                       D˜SK: 1,059026
155     CPU: 8,452463                   RAM: 2159                       D˜SK: 0,8789803
156     CPU: 8,443852                   RAM: 2165                       D˜SK: 0,1509403
157     CPU: 11,97855                   RAM: 2167                       D˜SK: 0,1035875
158     CPU: 2,023918                   RAM: 2169                       D˜SK: 0,1713385
159     CPU: 8,225897                   RAM: 2167                       D˜SK: 0,2860525
160     CPU: 4,367211                   RAM: 2169                       D˜SK: 1,829385
161     CPU: 9,064868                   RAM: 2171                       D˜SK: 1,545001
162     CPU: 3,281026                   RAM: 2173                       D˜SK: 0,08129931
163     CPU: 7,308749                   RAM: 2176                       D˜SK: 0,02868061
164     CPU: 6,244288                   RAM: 2164                       D˜SK: 0,1709353
165     CPU: 8,977901                   RAM: 2168                       D˜SK: 1,269974
166     CPU: 3,864665                   RAM: 2170                       D˜SK: 0,09863126
167     CPU: 9,072073                   RAM: 2173                       D˜SK: 0,6615873
168     CPU: 4,321919                   RAM: 2175                       D˜SK: 0,07602924
169     CPU: 7,10356                    RAM: 2169                       D˜SK: 3,263117
170     CPU: 5,766496                   RAM: 2173                       D˜SK: 1,73975
171     CPU: 6,370385                   RAM: 2174                       D˜SK: 0,02628581
172     CPU: 5,194338                   RAM: 2173                       D˜SK: 0,1018346
173     CPU: 6,766171                   RAM: 2168                       D˜SK: 0,2179689
174     CPU: 7,276688                   RAM: 2165                       D˜SK: 0,1499605
175     CPU: 0                          RAM: 2167                       D˜SK: 0
176     CPU: 4,91223                    RAM: 2163                       D˜SK: 0,122984
177     CPU: 7,341186                   RAM: 2168                       D˜SK: 0,08303881
178     CPU: 7,598089                   RAM: 2170                       D˜SK: 0,1036105
179     CPU: 4,064973                   RAM: 2173                       D˜SK: 0,05203775
180     CPU: 9,431948                   RAM: 2164                       D˜SK: 0,0742608
181     CPU: 3,388018                   RAM: 2167                       D˜SK: 0,05706581
182     CPU: 9,641771                   RAM: 2170                       D˜SK: 1,074043
183     CPU: 7,154878                   RAM: 2173                       D˜SK: 0,04737128
184     CPU: 8,522159                   RAM: 2163                       D˜SK: 0,1755191
185     CPU: 4,098373                   RAM: 2172                       D˜SK: 0,1213595
186     CPU: 5,445112                   RAM: 2173                       D˜SK: 0,09673189
187     CPU: 6,00358                    RAM: 2172                       D˜SK: 1,149189
188     CPU: 5,87991                    RAM: 2167                       D˜SK: 1,853058
189     CPU: 4,919515                   RAM: 2168                       D˜SK: 0,9183949
190     CPU: 8,562028                   RAM: 2163                       D˜SK: 0,0383321
191     CPU: 5,421646                   RAM: 2167                       D˜SK: 0,08126716
192     CPU: 6,273226                   RAM: 2169                       D˜SK: 0,08355709
193     CPU: 5,279229                   RAM: 2172                       D˜SK: 0,1094515
194     CPU: 6,843024                   RAM: 2172                       D˜SK: 0,1050167
195     CPU: 5,422978                   RAM: 2169                       D˜SK: 0,2249471
196     CPU: 2,97385                    RAM: 2164                       D˜SK: 0,1024673
197     CPU: 7,750931                   RAM: 2166                       D˜SK: 0,1084541
198     CPU: 3,246211                   RAM: 2173                       D˜SK: 0,5896391
199     CPU: 8,057542                   RAM: 2178                       D˜SK: 0,241689
200     CPU: 11,76194                   RAM: 2173                       D˜SK: 8,82972
201     CPU: 7,227459                   RAM: 2175                       D˜SK: 0,6181159
202     CPU: 6,106991                   RAM: 2178                       D˜SK: 0,02609032
203     CPU: 4,402241                   RAM: 2180                       D˜SK: 0,1096357
204     CPU: 9,334064                   RAM: 2181                       D˜SK: 3,206508
205     CPU: 5,57429                    RAM: 2170                       D˜SK: 0,09315848
206     CPU: 4,332117                   RAM: 2172                       D˜SK: 0
207     CPU: 6,597777                   RAM: 2175                       D˜SK: 5,544833
208     CPU: 4,700884                   RAM: 2177                       D˜SK: 0,07417741
209     CPU: 6,653035                   RAM: 2182                       D˜SK: 0,1142257
210     CPU: 6,75243                    RAM: 2182                       D˜SK: 0,0268664
211     CPU: 6,051976                   RAM: 2172                       D˜SK: 0,9134468
212     CPU: 8,647577                   RAM: 2175                       D˜SK: 0,07452745
213     CPU: 7,436739                   RAM: 2179                       D˜SK: 0,2004262
214     CPU: 5,803349                   RAM: 2181                       D˜SK: 0,2536198
215     CPU: 5,209513                   RAM: 2182                       D˜SK: 3,720721
216     CPU: 6,364878                   RAM: 2176                       D˜SK: 0,05687919
217     CPU: 3,458543                   RAM: 2178                       D˜SK: 0,02544076
218     CPU: 9,161063                   RAM: 2180                       D˜SK: 0,1036562
219     CPU: 9,499236                   RAM: 2184                       D˜SK: 0,1518081
220     CPU: 3,347228                   RAM: 2186                       D˜SK: 0,08195927
221     CPU: 4,448764                   RAM: 2175                       D˜SK: 0,08246578
222     CPU: 11,74523                   RAM: 2177                       D˜SK: 0,08276603
223     CPU: 4,927961                   RAM: 2181                       D˜SK: 0,08135583
224     CPU: 4,456276                   RAM: 2184                       D˜SK: 1,19397
225     CPU: 7,770369                   RAM: 2185                       D˜SK: 0,02767065
226     CPU: 6,807723                   RAM: 2185                       D˜SK: 0,1599027
227     CPU: 3,419944                   RAM: 2177                       D˜SK: 0,1743601
228     CPU: 5,569361                   RAM: 2180                       D˜SK: 1,438723
229     CPU: 7,409409                   RAM: 2181                       D˜SK: 0,0992729
230     CPU: 6,399188                   RAM: 2183                       D˜SK: 0,6675544
231     CPU: 7,434448                   RAM: 2186                       D˜SK: 0,3784189
232     CPU: 6,90301                    RAM: 2178                       D˜SK: 0,9942309
233     CPU: 11,4791                    RAM: 2180                       D˜SK: 0,02701279
234     CPU: 10,42597                   RAM: 2182                       D˜SK: 14,1045
235     CPU: 7,866685                   RAM: 2177                       D˜SK: 0,3504632
236     CPU: 7,687054                   RAM: 2181                       D˜SK: 0,1021954
237     CPU: 4,698349                   RAM: 2183                       D˜SK: 0
238     CPU: 7,190396                   RAM: 2185                       D˜SK: 0,07746565
239     CPU: 6,521754                   RAM: 2177                       D˜SK: 6,78612
240     CPU: 4,734941                   RAM: 2179                       D˜SK: 0,05538819
241     CPU: 3,348443                   RAM: 2183                       D˜SK: 0,1307607
242     CPU: 10,23851                   RAM: 2184                       D˜SK: 0,06229491
243     CPU: 7,266995                   RAM: 2182                       D˜SK: 0,0787522
244     CPU: 8,445921                   RAM: 2176                       D˜SK: 10,34664
245     CPU: 13,17471                   RAM: 2183                       D˜SK: 1,197216
246     CPU: 4,604062                   RAM: 2180                       D˜SK: 0,08511742
247     CPU: 9,671823                   RAM: 2180                       D˜SK: 0,2534197
248     CPU: 7,716908                   RAM: 2179                       D˜SK: 0
249     CPU: 5,495199                   RAM: 2184                       D˜SK: 0,201818
250     CPU: 6,797204                   RAM: 2186                       D˜SK: 0,1379512
251     CPU: 7,094797                   RAM: 2188                       D˜SK: 7,957395
252     CPU: 8,898669                   RAM: 2189                       D˜SK: 0,02626945
253     CPU: 7,952067                   RAM: 2178                       D˜SK: 0,08191811
254     CPU: 8,404572                   RAM: 2183                       D˜SK: 0,1310133
255     CPU: 4,761278                   RAM: 2188                       D˜SK: 0,09915537
256     CPU: 16,23687                   RAM: 2203                       D˜SK: 4,180619
257     CPU: 6,978359                   RAM: 2208                       D˜SK: 0,08266687
258     CPU: 3,94486                    RAM: 2207                       D˜SK: 0,156995
259     CPU: 4,557113                   RAM: 2211                       D˜SK: 0,1502087
260     CPU: 8,682931                   RAM: 2215                       D˜SK: 0,02698073
261     CPU: 6,194583                   RAM: 2207                       D˜SK: 0,09922992
262     CPU: 4,076447                   RAM: 2211                       D˜SK: 0,07555854
263     CPU: 7,948812                   RAM: 2213                       D˜SK: 0,08598323
264     CPU: 5,367055                   RAM: 2216                       D˜SK: 9,933209
